year,male_age,male_probDeathWithinYr,male_numberSurv,male_deathsWithinYr,male_personYrsWithinYr,male_personYrsLeft,male_lifeExp,female_age,female_probDeathWithinYr,female_numberSurv,female_deathsWithinYr,female_personYrsWithinYr,female_personYrsLeft,female_lifeExp
1900,0,0.14596,"100,000","14,596","90,026","4,640,595",46.41,0,0.11969,"100,000","11,969","92,047","4,895,684",48.96
1900,1,0.03814,"85,404","3,257","83,776","4,550,569",53.28,1,0.03617,"88,031","3,184","86,438","4,803,637",54.57
1900,2,0.01958,"82,147","1,608","81,343","4,466,793",54.38,2,0.01782,"84,846","1,512","84,090","4,717,198",55.6
1900,3,0.01353,"80,539","1,090","79,994","4,385,450",54.45,3,0.01292,"83,334","1,077","82,796","4,633,108",55.6
1900,4,0.0108,"79,449",858,"79,020","4,305,456",54.19,4,0.01031,"82,258",848,"81,834","4,550,312",55.32
1900,5,0.00794,"78,591",624,"78,279","4,226,436",53.78,5,0.00761,"81,409",620,"81,100","4,468,478",54.89
1900,6,0.0057,"77,967",444,"77,745","4,148,156",53.2,6,0.0055,"80,790",444,"80,568","4,387,379",54.31
1900,7,0.00407,"77,523",316,"77,365","4,070,411",52.51,7,0.00399,"80,346",320,"80,185","4,306,811",53.6
1900,8,0.00305,"77,207",235,"77,090","3,993,046",51.72,8,0.00306,"80,025",245,"79,903","4,226,626",52.82
1900,9,0.00256,"76,972",197,"76,874","3,915,956",50.87,9,0.00265,"79,781",211,"79,675","4,146,723",51.98
1900,10,0.00248,"76,776",191,"76,680","3,839,082",50,10,0.00264,"79,569",210,"79,464","4,067,048",51.11
1900,11,0.00267,"76,585",204,"76,483","3,762,402",49.13,11,0.00287,"79,359",228,"79,246","3,987,583",50.25
1900,12,0.00294,"76,381",224,"76,268","3,685,919",48.26,12,0.00314,"79,132",248,"79,008","3,908,338",49.39
1900,13,0.00315,"76,156",240,"76,036","3,609,650",47.4,13,0.00332,"78,883",262,"78,752","3,829,330",48.54
1900,14,0.00336,"75,916",255,"75,789","3,533,614",46.55,14,0.00346,"78,621",272,"78,485","3,750,578",47.7
1900,15,0.00367,"75,662",278,"75,523","3,457,825",45.7,15,0.0037,"78,349",290,"78,204","3,672,093",46.87
1900,16,0.00415,"75,384",313,"75,227","3,382,303",44.87,16,0.00411,"78,059",321,"77,899","3,593,889",46.04
1900,17,0.00468,"75,071",351,"74,895","3,307,075",44.05,17,0.00457,"77,738",355,"77,561","3,515,990",45.23
1900,18,0.00523,"74,720",391,"74,524","3,232,180",43.26,18,0.00506,"77,383",392,"77,187","3,438,429",44.43
1900,19,0.0058,"74,329",431,"74,113","3,157,656",42.48,19,0.00558,"76,992",430,"76,777","3,361,242",43.66
1900,20,0.00642,"73,898",474,"73,661","3,083,543",41.73,20,0.00615,"76,562",471,"76,326","3,284,465",42.9
1900,21,0.00702,"73,423",516,"73,165","3,009,882",40.99,21,0.0067,"76,091",510,"75,836","3,208,139",42.16
1900,22,0.00745,"72,908",543,"72,636","2,936,717",40.28,22,0.00712,"75,581",538,"75,312","3,132,303",41.44
1900,23,0.00762,"72,365",551,"72,089","2,864,080",39.58,23,0.00737,"75,043",553,"74,766","3,056,991",40.74
1900,24,0.00761,"71,814",546,"71,541","2,791,991",38.88,24,0.00748,"74,490",557,"74,211","2,982,225",40.04
1900,25,0.00753,"71,267",536,"70,999","2,720,451",38.17,25,0.00754,"73,933",558,"73,654","2,908,014",39.33
1900,26,0.0075,"70,731",530,"70,466","2,649,451",37.46,26,0.00763,"73,375",560,"73,095","2,834,360",38.63
1900,27,0.00756,"70,201",530,"69,936","2,578,985",36.74,27,0.00774,"72,816",563,"72,534","2,761,264",37.92
1900,28,0.00776,"69,670",540,"69,400","2,509,050",36.01,28,0.0079,"72,252",571,"71,967","2,688,730",37.21
1900,29,0.00806,"69,130",557,"68,852","2,439,650",35.29,29,0.00809,"71,682",580,"71,392","2,616,763",36.51
1900,30,0.00838,"68,573",575,"68,286","2,370,798",34.57,30,0.00829,"71,102",589,"70,807","2,545,372",35.8
1900,31,0.00867,"67,998",590,"67,704","2,302,512",33.86,31,0.00846,"70,513",596,"70,214","2,474,564",35.09
1900,32,0.00894,"67,409",602,"67,108","2,234,809",33.15,32,0.00861,"69,916",602,"69,615","2,404,350",34.39
1900,33,0.00917,"66,806",613,"66,500","2,167,701",32.45,33,0.00875,"69,314",606,"69,011","2,334,735",33.68
1900,34,0.00938,"66,194",621,"65,883","2,101,201",31.74,34,0.00887,"68,708",609,"68,403","2,265,724",32.98
1900,35,0.0096,"65,573",630,"65,258","2,035,318",31.04,35,0.00899,"68,099",612,"67,792","2,197,321",32.27
1900,36,0.00985,"64,943",639,"64,623","1,970,060",30.34,36,0.00913,"67,486",616,"67,178","2,129,529",31.55
1900,37,0.01008,"64,304",648,"63,980","1,905,437",29.63,37,0.00928,"66,870",620,"66,560","2,062,350",30.84
1900,38,0.01029,"63,656",655,"63,328","1,841,457",28.93,38,0.00942,"66,250",624,"65,937","1,995,791",30.13
1900,39,0.01051,"63,000",662,"62,669","1,778,129",28.22,39,0.00958,"65,625",629,"65,311","1,929,853",29.41
1900,40,0.01074,"62,338",670,"62,003","1,715,460",27.52,40,0.00977,"64,996",635,"64,679","1,864,542",28.69
1900,41,0.01102,"61,669",679,"61,329","1,653,456",26.81,41,0.00999,"64,361",643,"64,040","1,799,864",27.96
1900,42,0.01134,"60,989",691,"60,644","1,592,127",26.11,42,0.01025,"63,718",653,"63,392","1,735,824",27.24
1900,43,0.01172,"60,298",707,"59,944","1,531,484",25.4,43,0.01054,"63,066",665,"62,733","1,672,432",26.52
1900,44,0.01217,"59,591",725,"59,228","1,471,539",24.69,44,0.01089,"62,401",680,"62,061","1,609,699",25.8
1900,45,0.01268,"58,866",746,"58,493","1,412,311",23.99,45,0.01128,"61,721",696,"61,373","1,547,638",25.07
1900,46,0.01324,"58,120",769,"57,735","1,353,818",23.29,46,0.01173,"61,025",716,"60,667","1,486,265",24.36
1900,47,0.01383,"57,350",793,"56,954","1,296,083",22.6,47,0.01227,"60,309",740,"59,939","1,425,598",23.64
1900,48,0.01446,"56,557",818,"56,148","1,239,129",21.91,48,0.0129,"59,569",769,"59,185","1,365,659",22.93
1900,49,0.01515,"55,739",844,"55,317","1,182,981",21.22,49,0.01363,"58,800",802,"58,400","1,306,474",22.22
1900,50,0.01589,"54,895",872,"54,459","1,127,664",20.54,50,0.01445,"57,999",838,"57,580","1,248,075",21.52
1900,51,0.01673,"54,023",904,"53,571","1,073,205",19.87,51,0.01532,"57,161",876,"56,723","1,190,495",20.83
1900,52,0.01771,"53,119",941,"52,648","1,019,635",19.2,52,0.01624,"56,285",914,"55,828","1,133,772",20.14
1900,53,0.01884,"52,178",983,"51,686","966,986",18.53,53,0.01719,"55,371",952,"54,895","1,077,944",19.47
1900,54,0.02011,"51,195","1,030","50,680","915,300",17.88,54,0.01819,"54,419",990,"53,924","1,023,049",18.8
1900,55,0.02154,"50,165","1,081","49,625","864,620",17.24,55,0.0193,"53,429","1,031","52,913","969,126",18.14
1900,56,0.02307,"49,084","1,132","48,518","814,995",16.6,56,0.02052,"52,398","1,075","51,860","916,212",17.49
1900,57,0.02459,"47,952","1,179","47,363","766,477",15.98,57,0.02181,"51,323","1,119","50,763","864,352",16.84
1900,58,0.02609,"46,773","1,220","46,163","719,114",15.37,58,0.02317,"50,203","1,163","49,622","813,589",16.21
1900,59,0.02762,"45,553","1,258","44,924","672,951",14.77,59,0.02462,"49,040","1,208","48,437","763,967",15.58
1900,60,0.0293,"44,295","1,298","43,646","628,027",14.18,60,0.02627,"47,833","1,256","47,205","715,531",14.96
1900,61,0.03123,"42,997","1,343","42,325","584,382",13.59,61,0.0281,"46,577","1,309","45,922","668,326",14.35
1900,62,0.0334,"41,654","1,391","40,958","542,056",13.01,62,0.03006,"45,268","1,361","44,587","622,404",13.75
1900,63,0.03584,"40,263","1,443","39,541","501,098",12.45,63,0.03216,"43,907","1,412","43,201","577,817",13.16
1900,64,0.03858,"38,820","1,498","38,071","461,556",11.89,64,0.03443,"42,495","1,463","41,763","534,616",12.58
1900,65,0.04159,"37,322","1,552","36,546","423,485",11.35,65,0.03691,"41,032","1,514","40,275","492,852",12.01
1900,66,0.04488,"35,770","1,605","34,968","386,939",10.82,66,0.03971,"39,517","1,569","38,733","452,578",11.45
1900,67,0.04852,"34,165","1,658","33,336","351,972",10.3,67,0.04301,"37,948","1,632","37,132","413,845",10.91
1900,68,0.05253,"32,507","1,707","31,654","318,636",9.8,68,0.04689,"36,316","1,703","35,464","376,713",10.37
1900,69,0.05691,"30,800","1,753","29,923","286,982",9.32,69,0.05129,"34,613","1,775","33,725","341,249",9.86
1900,70,0.06182,"29,047","1,796","28,149","257,059",8.85,70,0.05627,"32,838","1,848","31,914","307,524",9.36
1900,71,0.06714,"27,251","1,830","26,336","228,910",8.4,71,0.06156,"30,990","1,908","30,036","275,610",8.89
1900,72,0.07254,"25,422","1,844","24,500","202,573",7.97,72,0.06671,"29,082","1,940","28,112","245,574",8.44
1900,73,0.07793,"23,578","1,837","22,659","178,073",7.55,73,0.07157,"27,142","1,942","26,171","217,462",8.01
1900,74,0.08354,"21,740","1,816","20,832","155,414",7.15,74,0.07643,"25,200","1,926","24,237","191,291",7.59
1900,75,0.08945,"19,924","1,782","19,033","134,582",6.75,75,0.08142,"23,274","1,895","22,326","167,054",7.18
1900,76,0.09618,"18,142","1,745","17,270","115,549",6.37,76,0.08727,"21,379","1,866","20,446","144,728",6.77
1900,77,0.10426,"16,397","1,710","15,542","98,279",5.99,77,0.09476,"19,513","1,849","18,589","124,282",6.37
1900,78,0.114,"14,688","1,674","13,850","82,737",5.63,78,0.10428,"17,664","1,842","16,743","105,693",5.98
1900,79,0.12504,"13,013","1,627","12,200","68,886",5.29,79,0.11532,"15,822","1,825","14,910","88,950",5.62
1900,80,0.13692,"11,386","1,559","10,607","56,687",4.98,80,0.12763,"13,997","1,787","13,104","74,041",5.29
1900,81,0.14905,"9,827","1,465","9,095","46,080",4.69,81,0.14001,"12,211","1,710","11,356","60,937",4.99
1900,82,0.16118,"8,362","1,348","7,688","36,985",4.42,82,0.15129,"10,501","1,589","9,707","49,580",4.72
1900,83,0.17303,"7,015","1,214","6,408","29,297",4.18,83,0.16086,"8,913","1,434","8,196","39,874",4.47
1900,84,0.18486,"5,801","1,072","5,265","22,889",3.95,84,0.16962,"7,479","1,269","6,845","31,678",4.24
1900,85,0.19707,"4,729",932,"4,263","17,624",3.73,85,0.17889,"6,210","1,111","5,655","24,833",4
1900,86,0.20998,"3,797",797,"3,398","13,362",3.52,86,0.18979,"5,099",968,"4,615","19,178",3.76
1900,87,0.22376,"2,999",671,"2,664","9,964",3.32,87,0.20294,"4,132",838,"3,712","14,563",3.52
1900,88,0.23841,"2,328",555,"2,051","7,300",3.14,88,0.2185,"3,293",720,"2,933","10,851",3.29
1900,89,0.25378,"1,773",450,"1,548","5,249",2.96,89,0.23616,"2,574",608,"2,270","7,917",3.08
1900,90,0.2697,"1,323",357,"1,145","3,701",2.8,90,0.25546,"1,966",502,"1,715","5,647",2.87
1900,91,0.28598,966,276,828,"2,556",2.65,91,0.27592,"1,464",404,"1,262","3,933",2.69
1900,92,0.30241,690,209,586,"1,728",2.5,92,0.29704,"1,060",315,902,"2,671",2.52
1900,93,0.31883,481,153,405,"1,142",2.37,93,0.3184,745,237,626,"1,769",2.37
1900,94,0.3351,328,110,273,738,2.25,94,0.3351,508,170,423,"1,142",2.25
1900,95,0.35212,218,77,180,465,2.13,95,0.35212,338,119,278,720,2.13
1900,96,0.36994,141,52,115,285,2.02,96,0.36994,219,81,178,441,2.02
1900,97,0.38858,89,35,72,170,1.91,97,0.38858,138,54,111,263,1.91
1900,98,0.40809,54,22,43,98,1.81,98,0.40809,84,34,67,152,1.81
1900,99,0.4285,32,14,25,55,1.71,99,0.4285,50,21,39,85,1.71
1900,100,0.44992,18,8,14,30,1.61,100,0.44992,29,13,22,46,1.61
1900,101,0.47242,10,5,8,15,1.52,101,0.47242,16,7,12,24,1.52
1900,102,0.49604,5,3,4,8,1.43,102,0.49604,8,4,6,12,1.43
1900,103,0.52084,3,1,2,4,1.35,103,0.52084,4,2,3,6,1.35
1900,104,0.54688,1,1,1,2,1.26,104,0.54688,2,1,1,3,1.26
1900,105,0.57423,1,0,0,1,1.19,105,0.57423,1,1,1,1,1.19
1900,106,0.60294,0,0,0,0,1.11,106,0.60294,0,0,0,0,1.11
1900,107,0.63308,0,0,0,0,1.04,107,0.63308,0,0,0,0,1.04
1900,108,0.66474,0,0,0,0,0.97,108,0.66474,0,0,0,0,0.97
1900,109,0.69797,0,0,0,0,0.91,109,0.69797,0,0,0,0,0.91
1900,110,0.73287,0,0,0,0,0.84,110,0.73287,0,0,0,0,0.84
1900,111,0.76952,0,0,0,0,0.78,111,0.76952,0,0,0,0,0.78
1900,112,0.80799,0,0,0,0,0.72,112,0.80799,0,0,0,0,0.72
1900,113,0.84839,0,0,0,0,0.67,113,0.84839,0,0,0,0,0.67
1900,114,0.89081,0,0,0,0,0.62,114,0.89081,0,0,0,0,0.62
1900,115,0.93535,0,0,0,0,0.57,115,0.93535,0,0,0,0,0.57
1900,116,0.98212,0,0,0,0,0.52,116,0.98212,0,0,0,0,0.52
1900,117,1,0,0,0,0,0.5,117,1,0,0,0,0,0.5
1900,118,1,0,0,0,0,0,118,1,0,0,0,0,0
1900,119,1,0,0,0,0,0,119,1,0,0,0,0,0
1910,0,0.12006,100000,12006,91343,5007920,50.08,0,0.09826,100000,9826,93083,5358122,53.58
1910,1,0.02729,87994,2401,86794,4916577,55.87,1,0.02554,90174,2303,89022,5265039,58.39
1910,2,0.01407,85593,1205,84991,4829784,56.43,2,0.01263,87871,1110,87316,5176017,58.9
1910,3,0.00976,84388,823,83977,4744793,56.23,3,0.00917,86761,796,86363,5088701,58.65
1910,4,0.00779,83565,651,83240,4660816,55.77,4,0.00732,85965,630,85650,5002338,58.19
1910,5,0.00581,82914,482,82673,4577577,55.21,5,0.00544,85336,464,85103,4916687,57.62
1910,6,0.00426,82432,351,82257,4494904,54.53,6,0.00397,84871,337,84703,4831584,56.93
1910,7,0.00314,82081,258,81952,4412647,53.76,7,0.00292,84535,247,84411,4746881,56.15
1910,8,0.00245,81823,200,81723,4330695,52.93,8,0.00228,84288,193,84191,4662470,55.32
1910,9,0.00213,81623,174,81536,4248972,52.06,9,0.00202,84095,169,84011,4578278,54.44
1910,10,0.00211,81449,172,81363,4167436,51.17,10,0.00203,83926,170,83841,4494268,53.55
1910,11,0.00226,81278,184,81186,4086072,50.27,11,0.0022,83756,185,83663,4410427,52.66
1910,12,0.00248,81094,201,80993,4004886,49.39,12,0.00241,83571,201,83470,4326764,51.77
1910,13,0.00265,80893,214,80786,3923893,48.51,13,0.00255,83370,213,83263,4243293,50.9
1910,14,0.00282,80679,227,80565,3843107,47.63,14,0.00266,83157,221,83046,4160030,50.03
1910,15,0.00306,80451,246,80328,3762542,46.77,15,0.00284,82936,236,82818,4076983,49.16
1910,16,0.00342,80205,274,80068,3682214,45.91,16,0.00314,82700,259,82570,3994166,48.3
1910,17,0.00383,79931,306,79778,3602146,45.07,17,0.00346,82441,285,82298,3911595,47.45
1910,18,0.00427,79625,340,79455,3522369,44.24,18,0.00381,82155,313,81998,3829298,46.61
1910,19,0.00473,79285,375,79097,3442914,43.42,19,0.00417,81842,342,81671,3747299,45.79
1910,20,0.00524,78910,414,78703,3363817,42.63,20,0.00457,81500,372,81314,3665628,44.98
1910,21,0.00574,78496,450,78271,3285114,41.85,21,0.00495,81128,402,80927,3584314,44.18
1910,22,0.00609,78046,475,77808,3206843,41.09,22,0.00525,80726,424,80514,3503387,43.4
1910,23,0.00624,77571,484,77329,3129035,40.34,23,0.00543,80302,436,80084,3422872,42.62
1910,24,0.00625,77087,481,76846,3051706,39.59,24,0.00552,79866,441,79645,3342788,41.85
1910,25,0.0062,76606,475,76368,2974859,38.83,25,0.00558,79425,443,79203,3263142,41.08
1910,26,0.00621,76131,472,75894,2898491,38.07,26,0.00566,78982,447,78758,3183939,40.31
1910,27,0.00629,75658,476,75420,2822596,37.31,27,0.00577,78534,453,78308,3105181,39.54
1910,28,0.0065,75182,489,74938,2747176,36.54,28,0.00593,78081,463,77850,3026873,38.77
1910,29,0.0068,74694,508,74440,2672238,35.78,29,0.00614,77618,476,77380,2949024,37.99
1910,30,0.00713,74186,529,73921,2597798,35.02,30,0.00635,77142,490,76897,2871644,37.23
1910,31,0.00744,73657,548,73382,2523877,34.27,31,0.00655,76652,502,76401,2794747,36.46
1910,32,0.00773,73108,565,72826,2450495,33.52,32,0.00671,76150,511,75894,2718346,35.7
1910,33,0.00798,72543,579,72254,2377669,32.78,33,0.00683,75639,517,75381,2642452,34.94
1910,34,0.00821,71965,590,71669,2305415,32.04,34,0.00692,75122,520,74863,2567071,34.17
1910,35,0.00844,71374,602,71073,2233746,31.3,35,0.007,74603,522,74342,2492209,33.41
1910,36,0.00871,70772,616,70464,2162673,30.56,36,0.00711,74080,527,73817,2417867,32.64
1910,37,0.00902,70156,632,69839,2092209,29.82,37,0.00728,73554,535,73286,2344050,31.87
1910,38,0.00938,69523,652,69197,2022370,29.09,38,0.00752,73018,549,72744,2270764,31.1
1910,39,0.00979,68871,674,68534,1953172,28.36,39,0.00781,72470,566,72186,2198020,30.33
1910,40,0.01023,68197,697,67848,1884638,27.64,40,0.00816,71903,586,71610,2125834,29.57
1910,41,0.01068,67499,721,67139,1816790,26.92,41,0.0085,71317,606,71014,2054223,28.8
1910,42,0.01115,66779,744,66407,1749651,26.2,42,0.00883,70711,624,70398,1983210,28.05
1910,43,0.01163,66034,768,65650,1683244,25.49,43,0.00911,70086,639,69767,1912811,27.29
1910,44,0.01213,65267,792,64871,1617594,24.78,44,0.00938,69448,651,69122,1843044,26.54
1910,45,0.0127,64475,819,64065,1552723,24.08,45,0.00968,68796,666,68463,1773923,25.79
1910,46,0.01331,63656,847,63232,1488658,23.39,46,0.01005,68130,685,67788,1705460,25.03
1910,47,0.01386,62809,871,62373,1425426,22.69,47,0.01049,67445,708,67092,1637672,24.28
1910,48,0.01433,61938,888,61494,1363052,22.01,48,0.01102,66738,736,66370,1570580,23.53
1910,49,0.01478,61050,902,60599,1301558,21.32,49,0.01164,66002,768,65618,1504210,22.79
1910,50,0.01524,60148,917,59690,1240959,20.63,50,0.01233,65234,804,64832,1438592,22.05
1910,51,0.01584,59231,938,58762,1181270,19.94,51,0.0131,64430,844,64008,1373760,21.32
1910,52,0.01671,58293,974,57806,1122508,19.26,52,0.01396,63586,887,63142,1309752,20.6
1910,53,0.01791,57319,1026,56806,1064702,18.57,53,0.01492,62698,936,62231,1246610,19.88
1910,54,0.01938,56293,1091,55747,1007896,17.9,54,0.01599,61763,988,61269,1184380,19.18
1910,55,0.02103,55202,1161,54621,952148,17.25,55,0.0172,60775,1045,60253,1123111,18.48
1910,56,0.02274,54041,1229,53426,897527,16.61,56,0.01852,59730,1106,59177,1062858,17.79
1910,57,0.02446,52812,1292,52166,844101,15.98,57,0.01987,58624,1165,58042,1003681,17.12
1910,58,0.02613,51520,1346,50847,791935,15.37,58,0.02123,57459,1220,56849,945639,16.46
1910,59,0.02781,50174,1396,49476,741088,14.77,59,0.02266,56239,1274,55602,888790,15.8
1910,60,0.02968,48778,1448,48054,691612,14.18,60,0.02424,54965,1332,54299,833188,15.16
1910,61,0.03177,47330,1503,46579,643558,13.6,61,0.02605,53633,1397,52934,778888,14.52
1910,62,0.03397,45827,1557,45049,596979,13.03,62,0.0281,52236,1468,51502,725954,13.9
1910,63,0.03629,44270,1607,43467,551931,12.47,63,0.03043,50768,1545,49995,674453,13.29
1910,64,0.03879,42664,1655,41836,508464,11.92,64,0.03304,49223,1626,48410,624457,12.69
1910,65,0.04151,41009,1702,40157,466628,11.38,65,0.03591,47596,1709,46742,576048,12.1
1910,66,0.04457,39306,1752,38430,426471,10.85,66,0.03906,45887,1793,44991,529306,11.53
1910,67,0.04808,37554,1806,36652,388040,10.33,67,0.04254,44094,1876,43157,484315,10.98
1910,68,0.05213,35749,1864,34817,351389,9.83,68,0.04635,42219,1957,41241,441159,10.45
1910,69,0.05668,33885,1920,32925,316572,9.34,69,0.05051,40262,2034,39245,399918,9.93
1910,70,0.06173,31964,1973,30978,283647,8.87,70,0.05513,38229,2107,37175,360673,9.43
1910,71,0.06714,29991,2014,28984,252669,8.42,71,0.06011,36121,2171,35036,323498,8.96
1910,72,0.07269,27978,2034,26961,223685,8,72,0.06527,33950,2216,32842,288462,8.5
1910,73,0.07831,25944,2032,24928,196724,7.58,73,0.07055,31734,2239,30614,255621,8.06
1910,74,0.08416,23912,2012,22906,171796,7.18,74,0.07608,29495,2244,28373,225006,7.63
1910,75,0.09027,21900,1977,20911,148890,6.8,75,0.08189,27251,2232,26135,196633,7.22
1910,76,0.09706,19923,1934,18956,127979,6.42,76,0.08834,25020,2210,23914,170498,6.81
1910,77,0.10502,17989,1889,17045,109023,6.06,77,0.09589,22809,2187,21716,146583,6.43
1910,78,0.1144,16100,1842,15179,91979,5.71,78,0.10474,20622,2160,19542,124867,6.05
1910,79,0.12486,14258,1780,13368,76800,5.39,79,0.11462,18462,2116,17404,105325,5.7
1910,80,0.13627,12478,1700,11628,63432,5.08,80,0.12564,16346,2054,15319,87921,5.38
1910,81,0.14785,10777,1593,9981,51804,4.81,81,0.13694,14292,1957,13314,72602,5.08
1910,82,0.15885,9184,1459,8455,41823,4.55,82,0.14745,12335,1819,11426,59288,4.81
1910,83,0.16887,7725,1305,7073,33369,4.32,83,0.15668,10517,1648,9693,47862,4.55
1910,84,0.17847,6421,1146,5848,26296,4.1,84,0.16543,8869,1467,8135,38169,4.3
1910,85,0.1885,5275,994,4778,20448,3.88,85,0.17487,7402,1294,6754,30034,4.06
1910,86,0.19968,4280,855,3853,15671,3.66,86,0.18595,6107,1136,5539,23280,3.81
1910,87,0.21239,3426,728,3062,11818,3.45,87,0.19926,4972,991,4476,17740,3.57
1910,88,0.22672,2698,612,2392,8756,3.25,88,0.21494,3981,856,3553,13264,3.33
1910,89,0.24248,2086,506,1833,6364,3.05,89,0.23274,3125,727,2762,9711,3.11
1910,90,0.25938,1581,410,1376,4530,2.87,90,0.25232,2398,605,2095,6949,2.9
1910,91,0.27712,1171,324,1008,3155,2.7,91,0.27325,1793,490,1548,4854,2.71
1910,92,0.29536,846,250,721,2146,2.54,92,0.29512,1303,385,1111,3306,2.54
1910,93,0.31383,596,187,503,1425,2.39,93,0.31383,918,288,774,2195,2.39
1910,94,0.33228,409,136,341,922,2.25,94,0.33228,630,209,526,1421,2.25
1910,95,0.35123,273,96,225,581,2.13,95,0.35123,421,148,347,895,2.13
1910,96,0.37065,177,66,144,356,2.01,96,0.37065,273,101,222,548,2.01
1910,97,0.39048,112,44,90,212,1.9,97,0.39048,172,67,138,326,1.9
1910,98,0.4107,68,28,54,122,1.79,98,0.4107,105,43,83,188,1.79
1910,99,0.43123,40,17,31,68,1.69,99,0.43123,62,27,48,104,1.69
1910,100,0.45279,23,10,18,36,1.6,100,0.45279,35,16,27,56,1.6
1910,101,0.47543,12,6,10,19,1.51,101,0.47543,19,9,15,29,1.51
1910,102,0.4992,7,3,5,9,1.42,102,0.4992,10,5,8,14,1.42
1910,103,0.52416,3,2,2,4,1.33,103,0.52416,5,3,4,7,1.33
1910,104,0.55037,2,1,1,2,1.25,104,0.55037,2,1,2,3,1.25
1910,105,0.57789,1,0,0,1,1.18,105,0.57789,1,1,1,1,1.18
1910,106,0.60678,0,0,0,0,1.1,106,0.60678,0,0,0,1,1.1
1910,107,0.63712,0,0,0,0,1.03,107,0.63712,0,0,0,0,1.03
1910,108,0.66898,0,0,0,0,0.96,108,0.66898,0,0,0,0,0.96
1910,109,0.70243,0,0,0,0,0.9,109,0.70243,0,0,0,0,0.9
1910,110,0.73755,0,0,0,0,0.83,110,0.73755,0,0,0,0,0.83
1910,111,0.77443,0,0,0,0,0.77,111,0.77443,0,0,0,0,0.77
1910,112,0.81315,0,0,0,0,0.72,112,0.81315,0,0,0,0,0.72
1910,113,0.85381,0,0,0,0,0.66,113,0.85381,0,0,0,0,0.66
1910,114,0.8965,0,0,0,0,0.61,114,0.8965,0,0,0,0,0.61
1910,115,0.94132,0,0,0,0,0.56,115,0.94132,0,0,0,0,0.56
1910,116,0.98839,0,0,0,0,0.51,116,0.98839,0,0,0,0,0.51
1910,117,1,0,0,0,0,0.5,117,1,0,0,0,0,0.5
1910,118,1,0,0,0,0,0,118,1,0,0,0,0,0
1910,119,1,0,0,0,0,0,119,1,0,0,0,0,0
1920,0,0.08594,"100,000","8,594","93,479","5,450,851",54.51,0,0.06773,"100,000","6,773","94,964","5,626,909",56.27
1920,1,0.01885,"91,407","1,723","90,545","5,357,372",58.61,1,0.01774,"93,227","1,653","92,400","5,531,945",59.34
1920,2,0.00979,"89,684",878,"89,245","5,266,827",58.73,2,0.00882,"91,573",808,"91,169","5,439,545",59.4
1920,3,0.00682,"88,805",606,"88,503","5,177,583",58.3,3,0.00642,"90,765",582,"90,474","5,348,375",58.93
1920,4,0.00546,"88,200",481,"87,959","5,089,080",57.7,4,0.00513,"90,183",463,"89,952","5,257,901",58.3
1920,5,0.00438,"87,718",384,"87,526","5,001,121",57.01,5,0.00404,"89,720",362,"89,539","5,167,950",57.6
1920,6,0.00354,"87,334",309,"87,180","4,913,595",56.26,6,0.00318,"89,358",285,"89,216","5,078,411",56.83
1920,7,0.00292,"87,025",254,"86,898","4,826,415",55.46,7,0.00256,"89,073",228,"88,960","4,989,195",56.01
1920,8,0.00249,"86,772",216,"86,663","4,739,516",54.62,8,0.00214,"88,846",190,"88,751","4,900,236",55.15
1920,9,0.00225,"86,555",195,"86,458","4,652,853",53.76,9,0.00191,"88,656",169,"88,572","4,811,485",54.27
1920,10,0.00216,"86,361",186,"86,267","4,566,395",52.88,10,0.00184,"88,487",163,"88,405","4,722,913",53.37
1920,11,0.0022,"86,174",190,"86,079","4,480,127",51.99,11,0.00191,"88,324",169,"88,239","4,634,508",52.47
1920,12,0.00236,"85,984",203,"85,883","4,394,048",51.1,12,0.00208,"88,155",183,"88,063","4,546,268",51.57
1920,13,0.00261,"85,781",224,"85,669","4,308,165",50.22,13,0.00232,"87,972",204,"87,870","4,458,205",50.68
1920,14,0.00294,"85,557",251,"85,431","4,222,496",49.35,14,0.00262,"87,768",230,"87,653","4,370,336",49.79
1920,15,0.00334,"85,306",285,"85,163","4,137,064",48.5,15,0.00298,"87,538",261,"87,408","4,282,683",48.92
1920,16,0.00378,"85,021",321,"84,860","4,051,901",47.66,16,0.0034,"87,278",297,"87,129","4,195,275",48.07
1920,17,0.00418,"84,700",354,"84,523","3,967,041",46.84,17,0.00386,"86,981",335,"86,813","4,108,145",47.23
1920,18,0.00451,"84,346",381,"84,156","3,882,518",46.03,18,0.00434,"86,645",376,"86,458","4,021,332",46.41
1920,19,0.00479,"83,965",402,"83,764","3,798,363",45.24,19,0.00483,"86,270",416,"86,061","3,934,874",45.61
1920,20,0.00507,"83,563",424,"83,352","3,714,598",44.45,20,0.00535,"85,853",459,"85,624","3,848,813",44.83
1920,21,0.00537,"83,140",446,"82,916","3,631,247",43.68,21,0.00585,"85,394",500,"85,144","3,763,189",44.07
1920,22,0.00558,"82,693",461,"82,463","3,548,330",42.91,22,0.00623,"84,895",529,"84,630","3,678,045",43.32
1920,23,0.00567,"82,232",466,"81,999","3,465,867",42.15,23,0.00643,"84,366",543,"84,095","3,593,414",42.59
1920,24,0.00569,"81,766",465,"81,533","3,383,868",41.38,24,0.00651,"83,823",546,"83,550","3,509,320",41.87
